위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
벌목,,,절단,,
벌목,,이동,충돌,전도,작업중 이동
벽체,,설치,협착,전도,
벽체,,철근배근,매몰,붕괴,철근배근시 자중 및 기타하중
변전소 가스절연개폐장치 챔버 내부,,,질식,,
보강토 옹벽,,,,전도,설계도서 임의변경 시공
보강토 옹벽,,,,붕괴,집중호우
복공구조시설,,토사반출,매몰,붕괴,복공판 미설치
복공판,,설치,전락,,
비계,고소,이동,추락,,
비계,고소,자재이동,추락,붕괴,구조기준 미준수
비계,고소,철거,추락,붕괴,해체작업 방법 및 순서 부적절
비계,고소,해체,추락,전도,작업발판 고정 철선 절단
비계,고소,해체,추락,,
비계,달비계,도장,추락,낙하,로프 매듭 풀림
비계,달비계,청소,추락,낙하,탈락
비계,외부쌍줄비계,이동,추락,,
비계,,돌붙임 및 줄눈 설치,,붕괴,벽이음 일부해체
비계,,해체,추락,,
비계파이프,,이동,전락,,
사다리,고소,,추락,,
사다리,고소,배관,추락,전도,배관 탈락
사다리,고소,자재이동,추락,,
사장교,주탑,연결,,붕괴,가설시 발생하중 미검토 시공
상부앵커,클라이밍폼,인양 및 상승,충돌,탈락,상부앵커 강도 미흡
상수도관,,연결,충돌,탈락,
상수도관,,이설,,파손,지하수유출에 따른 토사유실
석축,,,,붕괴,우수유입
석축,,,,붕괴,공사진동
석축,,굴착,,붕괴,과잉굴착
석축,,매설,매몰,붕괴,지반상태 불량
석축옹벽,하부,,매몰,붕괴,흙막이 가시설 미설치
석축옹벽,하부,,충돌,낙석,전석제거 미흡
선라이트,고소,,추락,낙하,파손
성토사면,하단부,거적고정,전락,,
성토사면,하단부,거적고정,전락,,
손수레,슬래브 단부,운반,추락,낙하,불안전한 중량물 운반
숏크리트 잔재물,여굴부위,청소,매몰,낙하,1차 숏크리트면의 이물질
숏크리트 잔재물,지보배면부,정리,충돌,낙하,
숏크리트 잔재물,천장부,처리,매몰,낙하,1차 숏크리트면의 이물질
숏크리트 잔재물,,인양,재해자 안구피해,,
수직철근,,설치,추락,전도,작업자하중
수직철근,,철근조립,협착,전도,돌풍
수직철근,,철근조립,협착,전도,수평보강 및 지지 미흡
스카이리프트,추락,철거보수,추락,,
슬래브,고소,,추락,붕괴,철근 과적재
슬래브,고소,,추락,붕괴,중량물 하중집중
슬래브,고소,물뿌리기,추락,붕괴,구조 및 주변상황
슬래브,고소,운반,추락,,
슬래브,고소,타설,추락,붕괴,설계도서 미준수
슬래브,고소,타설,추락,붕괴,좌굴강도 부족
슬래브,고소,타설,추락,붕괴,설계두께 미준수
슬래브,고소,평탄,추락,붕괴,철골빔 앵커 이탈
슬래브,,인상,,낙하,슬래브1경간 침하로 인한 차단 발생
슬래브,,정리,매몰,붕괴,구조안전성 미검토 및 조립도 미작성
슬래브,,정리,매몰,붕괴,타설작업방법 및 순서 미준수
슬래브,,철거,매몰,붕괴,작업하중
슬래브,,타설,추락,붕괴,거푸집 용접불량
슬래브,,타설,매몰,붕괴,부적정한 이음방법
슬래브,,타설,매몰,붕괴,시스템동바리 가새 미설치
슬래브,,타설,매몰,붕괴,시스템동바리 수직재 연결핀 미설치
슬래브,,타설,매몰,붕괴,철골보 접합부 불량
슬래브,,해체,매몰,붕괴,철거 잔재물 적치
슬레이트,고소,해체,추락,파손,작업하중
시스템동바리,고소,타설,추락,붕괴,타설하중 집중
시스템동바리,고소,타설,추락,붕괴,상재하중
시스템동바리,,거치,충돌,붕괴,가새 미설치
시스템동바리,,설치,,붕괴,설치방법 미준수
시스템동바리,,타설,추락,붕괴,조립도 작성시 좌굴 미고려
시스템동바리,,타설,매몰,붕괴,조립불량
시스템동바리,,타설,추락,붕괴,구조안전성 미검토
시스템동바리,,타설,매몰,붕괴,타설 하중
시스템동바리,,타설,매몰,붕괴,가새 설치 미흡
시스템동바리,,해체,,붕괴,해체방법 미준수
시스템비계,고소,정비,추락,전도,비계 조립시 부재 누락
시추기,,상차,협착,전도,조작 미숙
앵커 및 버팀보,,,,붕괴,앵커/버팀보등 시스템 파괴
앵커체,,하역,전락,,
어스오거,천공구멍 인접,정리,비래,붕괴,작업순서 미흡
엄지말뚝,굴착면,,매몰,전도,해체상태 거치
연결통로,팔각벤딩폼,,추락,탈락,작업하중
오수관로,,운반,충돌,낙하,결속벤딩 해체
옹벽,,,협착,전도,배면토사 압력
옹벽,고소,견출,매몰,전도,배면토사 압력
옹벽,저수조 인접,,,붕괴,저수유입
옹벽,,굴착,매몰,붕괴,굴착면 기울기
옹벽,,철근조립,,전도,비틀림 방지장치 미설치
옹벽,,철근조립,충돌,전도,가새철근 설치 미흡
옹벽,,해체,매몰,붕괴,"작업전 부석, 균열, 함수 등 변화 점검 미흡"
옹벽,,해체,매몰,붕괴,굴착면 기울기
용접,,,화상,,
위험물 저장탱크,,배관연결,추락,폭발,인화성 유증기 잔류
위험물저장탱크,,용접 및 그라인딩,폭발,,
유로폼,고소,,추락,붕괴,하중집중(철근다발 적재시)
유로폼,,해체,충돌,낙하,탈락
이동식 가설구조물,,,추락,탈락,외국기준에 따라 설계시 건설사업관리기술자 미검토
이동식 가설구조물,,,추락,탈락,주요공정에 대한 시공계획서 미작업
이동식 가설구조물,,,추락,탈락,설계시 작업하중과 장비하중의 실중량 미고려
이동식 가설구조물,,,추락,탈락,"설계도서와 불일치한 볼트,앵커,핀,미끄럼판,유압실린더 사용"
이동식 가설구조물,,,추락,탈락,작업원 교육 미실시
이동식 가설구조물,,,추락,탈락,제작자의 매뉴얼 및 설계도 건설사업관리기술자 미검토
이동식 가설구조물,,,추락,탈락,가설공사 전담기술자 미배치
이동식 가설구조물,,FCM,추락,탈락,교각의 크리프 및 건조수축
이동식 가설구조물,,FCM,추락,탈락,작업차 각 부재의 변형
이동식 가설구조물,,FCM,추락,탈락,세그먼트 처짐
이동식 가설구조물,,FCM,추락,탈락,주형의 횡방향 변형
이동식 가설구조물,,FCM,추락,탈락,지반침하
이동식 가설구조물,,FCM,추락,탈락,교각기초 침하
이동식 가설구조물,,MSS,추락,탈락,후방지지 현수재 지점반력에 의한 주거더 처짐
이동식 가설구조물,,MSS,추락,탈락,교량 상부 시공하중에 의한 주거더 처짐
이동식 가설구조물,,MSS,추락,탈락,주거더 자중에 의한 처짐
이동식 가설구조물,,MSS,추락,탈락,분할시공시 교량 상부구조 자중에 의한 교랑 상부구조의 처짐
이동식 가설구조물,,MSS,추락,탈락,포스트텐셔닝 및 크리프에 의한 교량 상부구조의 처짐
이동식 비계,고소,이동,충돌,낙하,이동식 비계조정 및 추진방향 판단 미흡
이동식크레인,,,충돌,전도,아웃트리거 받침대 파단
이동식크레인,,운반,협착,전도,지반붕괴
이동식크레인,,인양,추락,충돌,안전대 부착설비 가격
이동식크레인,,인양,충돌,전도,경사각 미준수
이동식크레인,,인양,충돌,전도,연약지반위 아웃트리거 설치
이동식크레인,,자재이동,협착,전도,허용하중 미준수
인양러그,용접부위,인양,추락,파단,목표 용접강도 미확보
인접구조물 벽체,,굴착,,붕괴,과잉굴착
인접도로 및 보도,,천공,,침하,
임시석축,절개지,,,붕괴,우수유입
자재,,양중,충돌,,
작업대,고소,수정,전락,,
작업대차,,운반,,충돌,궤도차량 충돌
작업발판,,,추락,,
작업발판 지지대,이동식 비계,설치,추락,낙하,탈락
작업발판 지지용 플레이트,,설치,추락,낙하,탈락(작업하중)
작업발판,거푸집,이동,추락,파손,자중 및 작업하중
작업발판,거푸집,해체,추락,충돌,중량물 취급 미흡
작업발판,교각,인양,추락,낙하,폼타이 볼트 용접부위 파단
작업발판,비계,비닐보양,추락,낙하,탈락
작업발판,비계,설치,추락,파손,
작업발판,이동식 비계,설치,추락,낙하,탈락
작업발판,이동식 비계,해체,추락,전도,과하중 발생
작업발판,,체결,추락,,
작업발판,,해체,추락,,
전석,경사면 하부,쌓기,협착,붕괴,안전성 확인 미흡
전석,,상차,충돌,낙석,
절단,드럼통,,폭발,,
절취사면,개착식 터널,철근/거푸집 조립,매몰,붕괴,굴착면 기울기
절토사면,,,,붕괴,해빙기로 동결된 간극수 융해
절토사면,,,매몰,붕괴,절취면 기울기
절토사면,고소,흙깍기,,붕괴,가시설 시공상세도 및 구조검토 미흡
절토사면,교대 배면,철근조립,매몰,붕괴,임의 설계변경
절토사면,상부,,충돌,낙석,부석제거 미흡
절토사면,상부,운반,전락,,
절토사면,토류판 상부,설치,매몰,붕괴,시공순서 불량
절토사면,하부,,매몰,붕괴,우수유입
절토사면,,굴착,충돌,낙석,
절토사면,,발파암 절취,충돌,낙석,발파에 의한 균열
절토사면,,철근조립,매몰,붕괴,굴착면 기울기
조립용 가설철구조물,,,충돌,낙하,전용 달기구 미사용
조적벽체,상부,해체,매몰,붕괴,해체방법 및 순서 불량
조적벽체,하부,철거,매몰,붕괴,구조 및 주변상황
조적벽체,,해체,매몰,전도,해체작업 방법 불량
조적벽체,,해체,매몰,낙하,해체계획 미수립
조적벽체,,해체,매몰,붕괴,작업순서 미흡
조형물,,해체,협착,붕괴,양생기간 미준수
지게차,,반출,충돌,,
지게차,,운반,협착,전도,중량물로 인한 무게중심 높은상태
지보공,터널 상부,,,붕괴,풍화암 및 지하수유입
지보공,,굴착,,붕괴,단층파쇄대 및 절리
지붕트러스,,,,전도,설계기준 미준수
지주가설재,,,매몰,붕괴,공기역학적 하중
지지대,,조정,협착,전도,상부하중에 의한 용접부 탈락
차량,,,충돌,충돌,과속주행
창호,,설치,추락,전도,창호 위치조정 미숙
천공기,,PRD Pile,협착,전도,작업중 충돌
천공장비,,이동,충돌,전도,지반침하
천정패널,,전기배선,추락,붕괴,작업하중
철골,상부,이동,추락,,
철골,캐노피,설치,추락,낙하,탈락
철골기둥,,건립,추락,전도,앵커볼트 파손
철골기둥,,철거,충돌,낙하,구조조립상태 불량
철골기둥,,해체,협착,전도,기초앵커 너트풀림
철골내민보,,설치,추락,낙하,콘크리트벽체와의 연결부 파손
철골보,,설치,추락,전도,버팀대 설치 미흡
철골부재,,자재 및 부지정리,충돌,전도,전도 예방조치 미흡
