areaCode,areaName,baljuCode,baljuGubun,cnt,dogubCode,dogubGubun,notiDate
33,충북,0,공공,5,1,원도급,20200814
33,충북,1,민간(법인),4,1,원도급,20200814
33,충북,2,민간(개인),1,1,원도급,20200814
33,충북,3,전체,10,1,원도급,20200814
33,충북,0,공공,4,2,하도급,20200814
33,충북,1,민간(법인),6,2,하도급,20200814
33,충북,2,민간(개인),2,2,하도급,20200814
33,충북,3,전체,12,2,하도급,20200814
34,충남,0,공공,10,1,원도급,20200814
34,충남,1,민간(법인),6,1,원도급,20200814
34,충남,2,민간(개인),2,1,원도급,20200814
34,충남,3,전체,18,1,원도급,20200814
34,충남,0,공공,8,2,하도급,20200814
34,충남,1,민간(법인),12,2,하도급,20200814
34,충남,2,민간(개인),2,2,하도급,20200814
34,충남,3,전체,22,2,하도급,20200814
35,전북,0,공공,9,1,원도급,20200814
35,전북,1,민간(법인),6,1,원도급,20200814
35,전북,2,민간(개인),3,1,원도급,20200814
35,전북,3,전체,18,1,원도급,20200814
35,전북,0,공공,7,2,하도급,20200814
35,전북,1,민간(법인),2,2,하도급,20200814
35,전북,2,민간(개인),2,2,하도급,20200814
35,전북,3,전체,11,2,하도급,20200814
36,전남,0,공공,9,1,원도급,20200814
36,전남,1,민간(법인),7,1,원도급,20200814
36,전남,2,민간(개인),3,1,원도급,20200814
36,전남,3,전체,19,1,원도급,20200814
36,전남,0,공공,12,2,하도급,20200814
36,전남,1,민간(법인),8,2,하도급,20200814
36,전남,2,민간(개인),3,2,하도급,20200814
36,전남,3,전체,23,2,하도급,20200814
37,경북,0,공공,14,1,원도급,20200814
37,경북,1,민간(법인),0,1,원도급,20200814
37,경북,2,민간(개인),11,1,원도급,20200814
37,경북,3,전체,25,1,원도급,20200814
37,경북,0,공공,13,2,하도급,20200814
37,경북,1,민간(법인),6,2,하도급,20200814
37,경북,2,민간(개인),0,2,하도급,20200814
37,경북,3,전체,19,2,하도급,20200814
38,경남,0,공공,14,1,원도급,20200814
38,경남,1,민간(법인),6,1,원도급,20200814
38,경남,2,민간(개인),5,1,원도급,20200814
38,경남,3,전체,25,1,원도급,20200814
38,경남,0,공공,10,2,하도급,20200814
38,경남,1,민간(법인),10,2,하도급,20200814
38,경남,2,민간(개인),5,2,하도급,20200814
38,경남,3,전체,25,2,하도급,20200814
39,제주,0,공공,1,1,원도급,20200814
39,제주,1,민간(법인),2,1,원도급,20200814
39,제주,2,민간(개인),0,1,원도급,20200814
39,제주,3,전체,3,1,원도급,20200814
39,제주,0,공공,1,2,하도급,20200814
39,제주,1,민간(법인),1,2,하도급,20200814
39,제주,2,민간(개인),4,2,하도급,20200814
39,제주,3,전체,6,2,하도급,20200814
00,전체,0,공공,8,1,원도급,20200815
00,전체,1,민간(법인),6,1,원도급,20200815
00,전체,2,민간(개인),1,1,원도급,20200815
00,전체,3,전체,15,1,원도급,20200815
00,전체,0,공공,7,2,하도급,20200815
00,전체,1,민간(법인),7,2,하도급,20200815
00,전체,2,민간(개인),6,2,하도급,20200815
00,전체,3,전체,20,2,하도급,20200815
11,서울,0,공공,0,1,원도급,20200815
11,서울,1,민간(법인),0,1,원도급,20200815
11,서울,2,민간(개인),0,1,원도급,20200815
11,서울,3,전체,0,1,원도급,20200815
11,서울,0,공공,2,2,하도급,20200815
11,서울,1,민간(법인),1,2,하도급,20200815
11,서울,2,민간(개인),1,2,하도급,20200815
11,서울,3,전체,4,2,하도급,20200815
21,부산,0,공공,0,1,원도급,20200815
21,부산,1,민간(법인),0,1,원도급,20200815
21,부산,2,민간(개인),0,1,원도급,20200815
21,부산,3,전체,0,1,원도급,20200815
21,부산,0,공공,0,2,하도급,20200815
21,부산,1,민간(법인),0,2,하도급,20200815
21,부산,2,민간(개인),0,2,하도급,20200815
21,부산,3,전체,0,2,하도급,20200815
22,대구,0,공공,0,1,원도급,20200815
22,대구,1,민간(법인),0,1,원도급,20200815
22,대구,2,민간(개인),1,1,원도급,20200815
22,대구,3,전체,1,1,원도급,20200815
22,대구,0,공공,0,2,하도급,20200815
22,대구,1,민간(법인),0,2,하도급,20200815
22,대구,2,민간(개인),0,2,하도급,20200815
22,대구,3,전체,0,2,하도급,20200815
23,인천,0,공공,1,1,원도급,20200815
23,인천,1,민간(법인),0,1,원도급,20200815
23,인천,2,민간(개인),0,1,원도급,20200815
23,인천,3,전체,1,1,원도급,20200815
23,인천,0,공공,0,2,하도급,20200815
23,인천,1,민간(법인),0,2,하도급,20200815
23,인천,2,민간(개인),0,2,하도급,20200815
23,인천,3,전체,0,2,하도급,20200815
24,광주,0,공공,0,1,원도급,20200815
24,광주,1,민간(법인),0,1,원도급,20200815
24,광주,2,민간(개인),0,1,원도급,20200815
24,광주,3,전체,0,1,원도급,20200815
24,광주,0,공공,0,2,하도급,20200815
24,광주,1,민간(법인),1,2,하도급,20200815
24,광주,2,민간(개인),0,2,하도급,20200815
24,광주,3,전체,1,2,하도급,20200815
25,대전,0,공공,0,1,원도급,20200815
25,대전,1,민간(법인),1,1,원도급,20200815
25,대전,2,민간(개인),0,1,원도급,20200815
25,대전,3,전체,1,1,원도급,20200815
25,대전,0,공공,0,2,하도급,20200815
25,대전,1,민간(법인),1,2,하도급,20200815
25,대전,2,민간(개인),0,2,하도급,20200815
25,대전,3,전체,1,2,하도급,20200815
26,울산,0,공공,0,1,원도급,20200815
26,울산,1,민간(법인),0,1,원도급,20200815
26,울산,2,민간(개인),0,1,원도급,20200815
26,울산,3,전체,0,1,원도급,20200815
26,울산,0,공공,0,2,하도급,20200815
26,울산,1,민간(법인),0,2,하도급,20200815
26,울산,2,민간(개인),0,2,하도급,20200815
26,울산,3,전체,0,2,하도급,20200815
29,세종,0,공공,0,1,원도급,20200815
29,세종,1,민간(법인),0,1,원도급,20200815
29,세종,2,민간(개인),0,1,원도급,20200815
29,세종,3,전체,0,1,원도급,20200815
29,세종,0,공공,0,2,하도급,20200815
29,세종,1,민간(법인),0,2,하도급,20200815
29,세종,2,민간(개인),0,2,하도급,20200815
29,세종,3,전체,0,2,하도급,20200815
31,경기,0,공공,2,1,원도급,20200815
31,경기,1,민간(법인),2,1,원도급,20200815
31,경기,2,민간(개인),0,1,원도급,20200815
31,경기,3,전체,4,1,원도급,20200815
31,경기,0,공공,1,2,하도급,20200815
31,경기,1,민간(법인),3,2,하도급,20200815
31,경기,2,민간(개인),1,2,하도급,20200815
31,경기,3,전체,5,2,하도급,20200815
32,강원,0,공공,0,1,원도급,20200815
32,강원,1,민간(법인),0,1,원도급,20200815
32,강원,2,민간(개인),0,1,원도급,20200815
32,강원,3,전체,0,1,원도급,20200815
32,강원,0,공공,2,2,하도급,20200815
32,강원,1,민간(법인),0,2,하도급,20200815
32,강원,2,민간(개인),0,2,하도급,20200815
32,강원,3,전체,2,2,하도급,20200815
33,충북,0,공공,3,1,원도급,20200815
33,충북,1,민간(법인),0,1,원도급,20200815
33,충북,2,민간(개인),0,1,원도급,20200815
33,충북,3,전체,3,1,원도급,20200815
33,충북,0,공공,0,2,하도급,20200815
33,충북,1,민간(법인),0,2,하도급,20200815
33,충북,2,민간(개인),2,2,하도급,20200815
33,충북,3,전체,2,2,하도급,20200815
34,충남,0,공공,0,1,원도급,20200815
34,충남,1,민간(법인),2,1,원도급,20200815
34,충남,2,민간(개인),0,1,원도급,20200815
34,충남,3,전체,2,1,원도급,20200815
34,충남,0,공공,0,2,하도급,20200815
34,충남,1,민간(법인),1,2,하도급,20200815
34,충남,2,민간(개인),0,2,하도급,20200815
34,충남,3,전체,1,2,하도급,20200815
35,전북,0,공공,0,1,원도급,20200815
35,전북,1,민간(법인),0,1,원도급,20200815
35,전북,2,민간(개인),0,1,원도급,20200815
35,전북,3,전체,0,1,원도급,20200815
35,전북,0,공공,0,2,하도급,20200815
35,전북,1,민간(법인),0,2,하도급,20200815
35,전북,2,민간(개인),1,2,하도급,20200815
35,전북,3,전체,1,2,하도급,20200815
36,전남,0,공공,1,1,원도급,20200815
36,전남,1,민간(법인),1,1,원도급,20200815
36,전남,2,민간(개인),0,1,원도급,20200815
36,전남,3,전체,2,1,원도급,20200815
36,전남,0,공공,1,2,하도급,20200815
36,전남,1,민간(법인),0,2,하도급,20200815
36,전남,2,민간(개인),0,2,하도급,20200815
36,전남,3,전체,1,2,하도급,20200815
37,경북,0,공공,1,1,원도급,20200815
37,경북,1,민간(법인),0,1,원도급,20200815
37,경북,2,민간(개인),0,1,원도급,20200815
37,경북,3,전체,1,1,원도급,20200815
37,경북,0,공공,0,2,하도급,20200815
37,경북,1,민간(법인),0,2,하도급,20200815
37,경북,2,민간(개인),0,2,하도급,20200815
37,경북,3,전체,0,2,하도급,20200815
38,경남,0,공공,0,1,원도급,20200815
38,경남,1,민간(법인),0,1,원도급,20200815
38,경남,2,민간(개인),0,1,원도급,20200815
38,경남,3,전체,0,1,원도급,20200815
38,경남,0,공공,1,2,하도급,20200815
38,경남,1,민간(법인),0,2,하도급,20200815
38,경남,2,민간(개인),0,2,하도급,20200815
38,경남,3,전체,1,2,하도급,20200815
39,제주,0,공공,0,1,원도급,20200815
